MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,34.0470000,-0.1215609,0.0988873,0.0770665
MsgID.LOCAL_VELOCITY,34.0470000,0.0000626,-0.0000166,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924789,-0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.2970000,0.0290455,-0.0142643,0.0789596
MsgID.LOCAL_VELOCITY,34.2970000,0.0000004,-0.0000656,0.0000178
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924800,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.5470000,0.0073985,-0.1172332,0.0787020
MsgID.LOCAL_VELOCITY,34.5470000,0.0000068,0.0000005,0.0000060
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7924799,-0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.7970000,-0.0002213,-0.1831161,0.0774319
MsgID.LOCAL_VELOCITY,34.7970000,-0.0000229,-0.0000089,0.0000002
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,35.0470000,0.0313499,0.0140245,0.0751875
MsgID.LOCAL_VELOCITY,35.0470000,-0.0000043,-0.0000187,0.0000034
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924802,-0.0750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924813,-0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.2980000,0.1519664,0.0979974,0.0710810
MsgID.LOCAL_VELOCITY,35.2980000,0.0000020,-0.0000404,0.0000118
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924803,-0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.5480000,0.0408974,-0.1205248,0.0634019
MsgID.LOCAL_VELOCITY,35.5480000,-0.0000192,0.0000180,0.0000214
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924803,-0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.7980000,0.0422204,0.0691720,0.0495442
MsgID.LOCAL_VELOCITY,35.7980000,0.0000052,-0.0000255,0.0000142
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,36.0480000,-0.0204526,0.0973362,0.0267246
MsgID.LOCAL_VELOCITY,36.0480000,0.0000085,0.0000151,0.0000051
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924798,-0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.2980000,0.0647969,-0.0958529,-0.0072648
MsgID.LOCAL_VELOCITY,36.2980000,0.0000318,-0.0000405,0.0000192
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924805,0.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.5480000,0.0956531,-0.0847286,-0.0507039
MsgID.LOCAL_VELOCITY,36.5480000,0.0000202,-0.0000548,0.0000208
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924808,0.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.7980000,-0.0031912,-0.0553741,-0.0982349
MsgID.LOCAL_VELOCITY,36.7980000,0.0000095,-0.0000181,0.0000153
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924799,0.0980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,37.0480000,0.1288023,-0.0071838,-0.1433580
MsgID.LOCAL_VELOCITY,37.0480000,-0.0000045,0.0000130,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924811,0.1430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924794,0.1810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.2980000,-0.0590919,-0.0192743,-0.1813512
MsgID.LOCAL_VELOCITY,37.2980000,0.0000019,-0.0000078,0.0000111
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924792,0.2050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.5480000,-0.0820965,-0.1342080,-0.2053048
MsgID.LOCAL_VELOCITY,37.5480000,0.0000091,0.0000038,0.0000171
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924799,0.2110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.7980000,-0.0095369,0.0485683,-0.2113565
MsgID.LOCAL_VELOCITY,37.7980000,0.0000131,-0.0000026,0.0000138
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924786,0.1980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.0480000,-0.1511559,0.0508676,-0.1985784
MsgID.LOCAL_VELOCITY,38.0480000,0.0000263,-0.0000126,0.0000210
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924796,0.1700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.2990000,-0.0363817,-0.1478644,-0.1708840
MsgID.LOCAL_VELOCITY,38.2990000,-0.0000071,-0.0000113,0.0000133
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924803,0.1350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.5490000,0.0389999,0.0069794,-0.1352822
MsgID.LOCAL_VELOCITY,38.5490000,-0.0000089,0.0000042,0.0000139
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924788,0.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.7990000,-0.1325523,0.0369763,-0.1011336
MsgID.LOCAL_VELOCITY,38.7990000,-0.0000126,-0.0000199,0.0000123
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924793,0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.0490000,-0.0710124,0.0584694,-0.0773586
MsgID.LOCAL_VELOCITY,39.0490000,0.0000269,-0.0000066,0.0000173
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924803,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.2990000,0.0368690,0.0105193,-0.0701406
MsgID.LOCAL_VELOCITY,39.2990000,0.0000038,-0.0000111,0.0000205
MsgID.LOCAL_POSITION,39.5490000,0.0005404,-0.1475314,-0.0809317
